name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Alexis_Sanchez,Arsenal,28,LW,1,65,4329,12,17.10,264,3,Chile,0,4,1,1,0
Mesut_Ozil,Arsenal,28,AM,1,50,4395,9.5,5.60,167,2,Germany,0,4,1,1,0
Petr_Cech,Arsenal,35,GK,4,7,1529,5.5,5.90,134,2,Czech_Republic,0,6,1,1,0
Theo_Walcott,Arsenal,28,RW,1,20,2393,7.5,1.50,122,1,England,0,4,1,1,0
Laurent_Koscielny,Arsenal,31,CB,3,22,912,6,0.70,121,2,France,0,4,1,1,0
Hector_Bellerin,Arsenal,22,RB,3,30,1675,6,13.70,119,2,Spain,0,2,1,1,0
Olivier_Giroud,Arsenal,30,CF,1,22,2230,8.5,2.50,116,2,France,0,4,1,1,0
Nacho_Monreal,Arsenal,31,LB,3,13,555,5.5,4.70,115,2,Spain,0,4,1,1,0
Shkodran_Mustafi,Arsenal,25,CB,3,30,1877,5.5,4.00,90,2,Germany,0,3,1,1,1
Alex_Iwobi,Arsenal,21,LW,1,10,1812,5.5,1.00,89,4,Nigeria,0,1,1,1,0
Granit_Xhaka,Arsenal,24,DM,2,35,1815,5.5,2.00,85,2,Switzerland,0,2,1,1,0
Alex_Oxlade-Chamberlain,Arsenal,23,RM,2,22,1519,6,1.80,83,1,England,0,2,1,1,0
Jack_Wilshere,Arsenal,25,CM,2,18,1759,5.5,0.00,61,1,England,0,3,1,1,0
Aaron_Ramsey,Arsenal,26,CM,2,35,1040,7,5.10,56,1,Wales,0,3,1,1,0
Francis_Coquelin,Arsenal,26,DM,2,15,549,4.5,1.70,52,2,France,0,3,1,1,0
Gabriel_Paulista,Arsenal,26,CB,3,13,552,5,0.10,45,3,Brazil,0,3,1,1,0
Kieran_Gibbs,Arsenal,27,LB,3,10,489,5,0.50,45,1,England,0,3,1,1,0
Santi_Cazorla,Arsenal,32,CM,2,12,943,7,0.10,38,2,Spain,0,5,1,1,0
Danny_Welbeck,Arsenal,26,CF,1,15,1521,7.5,0.50,37,1,England,0,3,1,1,0
Rob_Holding,Arsenal,21,CB,3,7,666,5,1.70,32,1,England,0,1,1,1,1
Mohamed_Elneny,Arsenal,25,DM,2,10,683,4.5,0.80,26,4,Egypt,0,3,1,1,0
Lucas_Perez,Arsenal,28,CF,1,15,2055,7.5,0.10,20,2,Spain,0,4,1,1,1
Emiliano_Martinez,Arsenal,24,GK,4,1,372,4,4.20,8,3,Argentina,0,2,1,1,0
David_Ospina,Arsenal,28,GK,4,7,544,5,0.20,2,3,Colombia,0,4,1,1,0
Carl_Jenkinson,Arsenal,25,RB,3,5,561,4.5,0.40,2,1,England,0,3,1,1,0
Per_Mertesacker,Arsenal,32,CB,3,6,702,5,1.00,1,2,Germany,0,5,1,1,0
Sead_Kolasinac,Arsenal,24,LB,3,15,618,6,6.90,0,2,Bosnia,1,2,1,1,0
Alexandre_Lacazette,Arsenal,26,CF,1,40,1183,10.5,26.50,0,2,France,1,3,1,1,0
Joshua_King,Bournemouth,25,SS,1,8,997,7.5,10.40,178,2,Norway,0,3,2,0,0
Jermain_Defoe,Bournemouth,34,CF,1,5,3213,8,15.00,166,1,England,0,6,2,0,0
Charlie_Daniels,Bournemouth,30,LB,3,3,185,5,19.80,134,1,England,0,4,2,0,0
Artur_Boruc,Bournemouth,37,GK,4,1,436,4.5,6.90,120,2,Poland,0,6,2,0,0
Steve_Cook,Bournemouth,26,CB,3,5,184,5,2.00,112,1,England,0,3,2,0,0
Junior_Stanislas,Bournemouth,27,LW,1,4.5,315,6,0.60,107,1,England,0,3,2,0,0
Adam_Smith,Bournemouth,26,RB,3,5,200,5,0.90,104,1,England,0,3,2,0,0
Ryan_Fraser,Bournemouth,23,LW,1,5,516,5.5,1.60,100,2,Scotland,0,2,2,0,0
Simon_Francis,Bournemouth,32,RB,3,2.5,167,4.5,4.00,89,1,England,0,5,2,0,0
Benik_Afobe,Bournemouth,24,CF,1,10,528,6,0.70,88,4,Congo_DR,0,2,2,0,0
